,Country,Year,pop,Region,co2_mtco2,coalcons_mtoe,coalprod_mtoe,gascons_mtoe,gasprod_mtoe,hydro_mtoe,hydro_twh,nuclear_mtoe,nuclear_twh,oilcons_mtoe,oilprod_mt,primary_gj_pc,primary_mtoe,renewables_mtoe,renewables_twh,solar_mtoe,solar_twh,wind_mtoe,wind_twh,$ money of the day,$ 2018
347,Total S. & Cent. America,1988,347.568437,,659.3880682999999,17.43622072,16.94936576,47.68736842,47.83270591,76.82369471,339.5146364,1.449575236,6.4062528,181.03538700000001,213.9934345,39.2619491,325.93422860000004,1.501982586,6.637861841,0.0,0.0,0.0,0.0,14.9238416988417,31.677777831538826
348,Total S. & Cent. America,1989,354.123616,,673.2154568,18.830558899999996,19.93162345,49.45155935,49.83689039,78.55099940000001,347.1482867,1.55408336,6.8681160000000006,181.3013455,216.3823792,39.16482423,331.25989239999996,1.57134594,6.944406246000001,0.0,0.0,0.0,0.0,18.22611328125,36.908908288022936
349,Total S. & Cent. America,1990,360.66306099999997,,660.8073822,15.81992885,19.43290891,51.21326254,51.78403898,81.68371345,360.9930032,2.153177309,9.5157518,179.76909819999997,233.9771462,38.600804100000005,332.51849060000006,1.879310205,8.305423521,0.0,0.0,0.0,0.0,23.7258203125,45.58316420207298
350,Total S. & Cent. America,1991,367.178831,,667.1470665,16.74247426,19.63441895,52.03415126,53.69221532,87.21239168,385.4264438,2.081288636,9.198047,181.1896138,246.6711946,38.90057343,341.1547501,1.8948304580000002,8.374013725,0.0,0.0,0.0,0.0,20.0009143968872,36.874960436557664
351,Total S. & Cent. America,1992,373.66281000000004,,706.8342537000001,17.56354623,20.40209779,53.52908025,53.76996943,88.87882301,392.79107039999997,2.00101783,8.8432982,192.47086059999998,252.19364480000004,39.98560285,356.8628241,2.419496201,10.69272151,0.0,0.0,0.0,0.0,19.3208365758755,34.58016614439322
352,Total S. & Cent. America,1993,380.115561,,724.1823638,17.79568132,21.10126937,57.59544554,57.23107262,95.72862674,423.063093,1.854013577,8.1936276,195.09170469999998,261.9097382,40.79716404,370.3935439,2.328072041,10.28868158,0.0,0.0,0.00038855300000000003,0.001717172,16.9716342412451,29.49270698558016
353,Total S. & Cent. America,1994,386.539729,,761.1406099,18.86046379,22.32955588,60.52717094,61.15119915,101.4714594,448.4429675,1.876445128,8.292761599999999,206.608032,277.66800770000003,42.43737953,391.7964361,2.452864821,10.84019079,0.0,0.0,0.0017599170000000002,0.007777778000000001,15.817626459144,26.8010575389762
354,Total S. & Cent. America,1995,392.935094,,794.7424105,19.15711156,24.19455538,66.58166107,67.03923432,105.37495359999998,465.69407,2.168986876,9.585620599999999,213.47162230000004,300.06189839999996,43.60740347,409.2595582,2.505222699,11.071581199999999,0.0,0.0,0.0017599170000000002,0.007777778000000001,17.0166796875,28.03810620924582
355,Total S. & Cent. America,1996,399.300731,,826.0242295,19.70322398,26.521008899999998,73.70580529,74.04583132,109.90057309999999,485.694593,2.237169571,9.8869472,218.304547,320.77108619999996,44.74151584,426.7058369,2.854517908,12.61525644,0.0,0.0,0.009497666,0.041973985,20.668488372093,33.078407327285895
356,Total S. & Cent. America,1997,405.63862,,868.8228405,21.1445813,29.7946267,75.22817115,75.15396023,116.28577140000002,513.913338,2.519065665,11.1327588,231.28218769999998,334.3841365,46.3959748,449.5079581,3.048180949,13.47113088,0.0,0.0,0.023289586,0.102925998,19.0925875486381,29.870918265270202
